Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
1969732,MCV2,COUNTRY,MHL,WPR,YEAR,Western Pacific,,2014,,,,,,,,53,53.0,,,,2024-07-12T15:36:37.797+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
3779967,MCV2,COUNTRY,ARE,EMR,YEAR,Eastern Mediterranean,,2010,,,,,,,,94,94.0,,,,2024-07-12T15:36:37.797+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
440419,MCV2,COUNTRY,ATG,AMR,YEAR,Americas,,2005,,,,,,,,46,46.0,,,,2024-07-12T15:36:37.797+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
2243578,MCV2,COUNTRY,SDN,EMR,YEAR,Eastern Mediterranean,,2012,,,,,,,,24,24.0,,,,2024-07-12T15:36:37.797+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4013769,MCV2,COUNTRY,SWZ,AFR,YEAR,Africa,,2011,,,,,,,,92,92.0,,,,2024-07-12T15:36:37.797+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
4300862,MCV2,COUNTRY,PHL,WPR,YEAR,Western Pacific,,2022,,,,,,,,64,64.0,,,,2024-07-12T15:36:37.797+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
7818439,MCV2,COUNTRY,VCT,AMR,YEAR,Americas,,2013,,,,,,,,96,96.0,,,,2024-07-12T15:36:37.797+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
2797801,MCV2,COUNTRY,IRN,EMR,YEAR,Eastern Mediterranean,,2003,,,,,,,,96,96.0,,,,2024-07-12T15:36:37.797+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
4614660,MCV2,COUNTRY,BTN,SEAR,YEAR,South-East Asia,,2022,,,,,,,,97,97.0,,,,2024-07-12T15:36:37.797+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
3191951,MCV2,COUNTRY,LBY,EMR,YEAR,Eastern Mediterranean,,2013,,,,,,,,95,95.0,,,,2024-07-12T15:36:37.797+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
4908265,MCV2,COUNTRY,DJI,EMR,YEAR,Eastern Mediterranean,,2018,,,,,,,,81,81.0,,,,2024-07-12T15:36:37.797+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
26263,MCV2,COUNTRY,LBY,EMR,YEAR,Eastern Mediterranean,,2012,,,,,,,,97,97.0,,,,2024-07-12T15:36:37.797+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
8673026,MCV2,COUNTRY,CZE,EUR,YEAR,Europe,,2014,,,,,,,,96,96.0,,,,2024-07-12T15:36:37.797+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
