Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
4365626,vfull,COUNTRY,NGA,AFR,YEAR,Africa,SEX,SEX_FMLE,2016,,,,,DATASOURCE,DATASOURCE_EQ_MICS,22.7 [20.1-25.5],22.709,20.14415,25.49615,,2022-05-26T11:47:25+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
4366214,vfull,COUNTRY,SEN,AFR,YEAR,Africa,WEALTHQUINTILE,WEALTHQUINTILE_WQ1,2019,,,,,DATASOURCE,DATASOURCE_EQ_DHS,65.8 [56.8-73.8],65.82212,56.79789,73.82987,,2022-05-26T13:03:31+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
4367261,vfull,COUNTRY,MDA,EUR,YEAR,Europe,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE06,2005,,,,,DATASOURCE,DATASOURCE_EQ_DHS,89.7 [69.9-97.0],89.67476,69.93317,97.00866,Attention - Estimate is based on 25-49 cases,2022-05-26T12:28:28+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
4368203,vfull,COUNTRY,COD,AFR,YEAR,Africa,DHSMICSGEOREGION,DHSMICSGEOREGION_CODMICS201007,2010,,,,,DATASOURCE,DATASOURCE_EQ_MICS,20.8 [13.8-30.1],20.78687,13.77622,30.11897,,2022-05-26T14:19:33+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
4368338,vfull,COUNTRY,HTI,AMR,YEAR,Americas,SEX,SEX_MLE,2016,,,,,DATASOURCE,DATASOURCE_EQ_DHS,38.7 [33.2-44.5],38.68019,33.1675,44.49908,,2022-05-26T11:46:01+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
4368767,vfull,COUNTRY,CMR,AFR,YEAR,Africa,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE08,1998,,,,,DATASOURCE,DATASOURCE_EQ_DHS,54.5 [42.8-65.7],54.48235,42.80738,65.68454,,2022-05-26T12:01:59+02:00,1998,1998-01-01T00:00:00+01:00,1998-12-31T00:00:00+01:00
4369155,vfull,COUNTRY,KEN,AFR,YEAR,Africa,DHSMICSGEOREGION,DHSMICSGEOREGION_KENDHS200803,2008,,,,,DATASOURCE,DATASOURCE_EQ_DHS,67.9 [57.7-76.6],67.87528,57.65611,76.62795,,2022-05-26T14:30:50+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
4369254,vfull,COUNTRY,MDG,AFR,YEAR,Africa,DHSMICSGEOREGION,DHSMICSGEOREGION_MDGMICS201815,2018,,,,,DATASOURCE,DATASOURCE_EQ_MICS,33.1 [22.8-45.3],33.1006,22.78427,45.34489,,2022-05-26T14:32:40+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
4370904,vfull,COUNTRY,MLI,AFR,YEAR,Africa,DHSMICSGEOREGION,DHSMICSGEOREGION_MLIMICS201504,2015,,,,,DATASOURCE,DATASOURCE_EQ_MICS,28.4 [22.6-35.1],28.42631,22.58726,35.09058,,2022-05-26T14:33:47+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
4371711,vfull,COUNTRY,HND,AMR,YEAR,Americas,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,2019,,,,,DATASOURCE,DATASOURCE_EQ_MICS,79.9 [76.2-83.2],79.93332,76.20596,83.20546,,2022-05-26T11:35:42+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
4372539,vfull,COUNTRY,CRI,AMR,YEAR,Americas,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE08,2011,,,,,DATASOURCE,DATASOURCE_EQ_MICS,76.2 [34.5-95.1],76.23911,34.5439,95.12381,Attention - Estimate is based on 25-49 cases,2022-05-26T12:04:26+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
4372596,vfull,COUNTRY,GHA,AFR,YEAR,Africa,DHSMICSGEOREGION,DHSMICSGEOREGION_GHADHS199806,1998,,,,,DATASOURCE,DATASOURCE_EQ_DHS,67.8 [56.8-77.2],67.84701,56.7741,77.22147,,2022-05-26T14:23:35+02:00,1998,1998-01-01T00:00:00+01:00,1998-12-31T00:00:00+01:00
4372753,vfull,COUNTRY,BDI,AFR,YEAR,Africa,DHSMICSGEOREGION,DHSMICSGEOREGION_BDIMICS200502,2005,,,,,DATASOURCE,DATASOURCE_EQ_MICS,45.2 [38.5-52.1],45.22527,38.49814,52.1315,,2022-05-26T14:14:46+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
